TIME,AQI,PM10,PM2.5,O3,CO,NO2,SO2
2023-04-05 01:00:00,25,19,13,80,0.6,14,6
2023-04-05 02:00:00,24,16,11,76,0.6,15,6
2023-04-05 03:00:00,24,13,11,74,0.6,15,6
2023-04-05 04:00:00,23,13,9,73,0.6,14,6
2023-04-05 05:00:00,23,13,9,71,0.6,16,6
2023-04-05 06:00:00,22,12,10,68,0.6,18,6
2023-04-05 07:00:00,22,13,10,70,0.6,18,6
2023-04-05 08:00:00,24,17,8,75,0.6,17,6
2023-04-05 09:00:00,27,17,9,84,0.6,17,6
2023-04-05 10:00:00,30,18,13,96,0.6,16,6
2023-04-05 11:00:00,35,20,12,109,0.6,14,7
2023-04-05 12:00:00,37,21,14,117,0.6,14,7
2023-04-05 13:00:00,38,23,15,120,0.6,13,7
2023-04-05 14:00:00,38,21,14,121,0.5,14,7
2023-04-05 15:00:00,38,18,16,119,0.6,15,6
2023-04-05 16:00:00,37,20,12,116,0.5,16,6
2023-04-05 17:00:00,35,18,13,110,0.6,18,6
2023-04-05 18:00:00,34,20,13,106,0.6,17,6
2023-04-05 19:00:00,32,22,13,100,0.6,18,6
2023-04-05 20:00:00,31,22,13,98,0.6,18,6
2023-04-05 21:00:00,30,18,13,96,0.6,18,6
2023-04-05 22:00:00,29,17,15,90,0.6,19,6
2023-04-05 23:00:00,29,18,14,91,0.6,18,6
2023-04-06 00:00:00,29,18,12,92,0.5,16,6
2023-04-06 01:00:00,29,18,14,92,0.5,15,6
2023-04-06 02:00:00,29,17,16,92,0.5,14,6
2023-04-06 03:00:00,29,19,15,91,0.5,14,6
2023-04-06 04:00:00,28,18,15,88,0.5,15,6
2023-04-06 05:00:00,26,18,16,83,0.5,16,6
2023-04-06 06:00:00,28,20,19,77,0.6,21,6
2023-04-06 07:00:00,30,23,21,67,0.6,28,6
2023-04-06 08:00:00,32,25,22,66,0.7,31,6
2023-04-06 09:00:00,30,25,21,71,0.7,32,6
2023-04-06 10:00:00,30,25,21,71,0.7,32,6
2023-04-06 11:00:00,32,24,22,80,0.7,28,6
2023-04-06 12:00:00,34,34,23,85,0.7,27,6
2023-04-06 13:00:00,40,28,28,87,0.6,22,6
2023-04-06 14:00:00,38,32,26,84,0.6,21,6
2023-04-06 15:00:00,36,36,24,78,0.6,23,6
2023-04-06 16:00:00,38,38,26,79,0.6,22,6
2023-04-06 17:00:00,43,43,24,76,0.6,22,6
2023-04-06 18:00:00,44,44,25,73,1.1,23,7
2023-04-06 19:00:00,47,47,27,62,0.6,31,6
2023-04-06 20:00:00,56,61,36,36,0.7,51,6
2023-04-06 21:00:00,60,69,40,22,0.8,62,7
2023-04-06 22:00:00,61,71,42,21,0.8,64,7
2023-04-06 23:00:00,57,64,38,21,0.8,61,6
2023-04-07 00:00:00,54,58,35,16,0.8,62,7
2023-04-07 01:00:00,53,56,34,14,0.7,61,6
2023-04-07 02:00:00,54,57,34,11,0.8,62,7
2023-04-07 03:00:00,55,59,31,10,0.8,61,7
2023-04-07 04:00:00,55,60,31,7,0.8,61,7
2023-04-07 05:00:00,54,58,31,7,0.8,58,7
2023-04-07 06:00:00,54,58,28,7,0.8,56,6
2023-04-07 07:00:00,57,64,29,8,0.9,55,7
2023-04-07 08:00:00,63,76,31,17,0.8,54,8
2023-04-07 09:00:00,73,95,37,34,0.8,49,10
2023-04-07 10:00:00,79,107,41,50,0.9,46,10
2023-04-07 11:00:00,83,115,42,80,0.9,34,11
2023-04-07 12:00:00,83,116,41,99,0.8,30,12
2023-04-07 13:00:00,78,105,38,117,0.7,22,10
2023-04-07 14:00:00,75,100,34,127,0.6,18,9
2023-04-07 15:00:00,77,103,29,135,0.5,14,8
2023-04-07 16:00:00,76,101,32,136,0.5,15,8
2023-04-07 17:00:00,75,99,32,135,0.5,16,7
2023-04-07 18:00:00,77,104,33,124,0.5,21,7
2023-04-07 19:00:00,79,108,35,105,0.5,36,7
2023-04-07 20:00:00,82,113,39,79,0.5,52,7
2023-04-07 21:00:00,85,120,43,58,0.6,68,7
2023-04-07 22:00:00,89,127,45,42,0.7,81,8
2023-04-07 23:00:00,90,129,41,30,0.7,88,8
2023-04-08 00:00:00,88,125,39,45,0.6,69,7
2023-04-08 01:00:00,85,120,37,55,0.6,57,8
2023-04-08 02:00:00,78,106,31,79,0.5,34,7
